,from,planned_departure,to,planned_arrival,trip_id,actual_times,from_name,to_name
0,8505000,654,8500218,688,ch:1:sjyid:100061:2316-001,"[(654, 687), (654, 687), (654, 689), (654, 687), (655, 688), (654, 688), (656, 689), (654, 687), (654, 687), (654, 687), (2880, 2880), (654, 690), (654, 687), (654, 687), (654, 690), (654, 687), (654, 688), (654, 687), (654, 688), (654, 688), (654, 688)]",Luzern,Olten
1,8500218,718,8507000,746,ch:1:sjyid:100001:1069-002,"[(720, 746), (719, 748), (718, 745), (719, 748), (721, 746), (719, 746), (720, 744), (718, 745), (719, 745), (719, 745), (719, 745), (720, 745), (720, 747), (719, 745), (719, 745), (718, 745), (721, 747), (719, 746), (719, 745), (719, 744), (720, 747), (718, 745), (719, 745), (720, 745), (719, 747)]",Olten,Bern
