,from,planned_departure,to,planned_arrival,trip_id,actual_times,from_name,to_name
0,8505000,618,8505004,645,ch:1:sjyid:100001:667-001,"[(619, 645), (618, 644), (620, 644), (618, 643), (622, 645), (619, 644), (619, 645)]",Luzern,Arth-Goldau
1,8505004,676,8503209,714,ch:1:sjyid:100061:2021-001,"[(676, 713), (676, 715), (676, 717), (676, 714), (676, 715), (679, 716), (676, 715), (676, 714), (678, 716), (676, 715), (676, 716), (676, 715), (676, 714), (676, 714), (676, 716), (676, 718), (676, 717), (676, 715), (676, 715), (676, 714), (676, 715), (676, 714), (676, 715), (676, 715), (676, 714)]",Arth-Goldau,Pfäffikon SZ
